"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","trt","ni","precision","abs_yi","source","repo","branch","repo_license"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",1,-3.02042488614436,0.524390243902439,"PLO","beta-blockers",43,1.38093328737707,3.02042488614436,"CRAN",NA,NA,"CRAN"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",2,-1.29928298413026,0.141414141414141,"PLO","sclerotherapy",42,2.65921578128376,1.29928298413026,"CRAN",NA,NA,"CRAN"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",3,-0.767255152713667,0.112637362637363,"PLO","control",41,2.97960547396594,0.767255152713667,"CRAN",NA,NA,"CRAN"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",4,-1.54044504094715,0.101190476190476,"PLO","beta-blockers",68,3.1436209919735,1.54044504094715,"CRAN",NA,NA,"CRAN"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",5,-1.52939520476056,0.0935897435897436,"PLO","sclerotherapy",73,3.26878134888972,1.52939520476056,"CRAN",NA,NA,"CRAN"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",6,-1.51258808644418,0.0938722294654498,"PLO","control",72,3.26385933792769,1.51258808644418,"CRAN",NA,NA,"CRAN"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",7,-1.38629436111989,0.3125,"PLO","beta-blockers",20,1.78885438199983,1.38629436111989,"CRAN",NA,NA,"CRAN"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",8,-1.09861228866811,0.333333333333333,"PLO","control",16,1.73205080756888,1.09861228866811,"CRAN",NA,NA,"CRAN"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",9,-1.56861591791385,0.0604166666666667,"PLO","beta-blockers",116,4.06838102172486,1.56861591791385,"CRAN",NA,NA,"CRAN"
"metadat_dat.pagliaro1992","metadat","dat.pagliaro1992","Studies on the Effectiveness of Nonsurgical Treatments in Cirrhosis",10,-0.993251773010283,0.045679012345679,"PLO","control",111,4.67887720419033,0.993251773010283,"CRAN",NA,NA,"CRAN"
